GRID_ID,일반음식점,통신판매업,담배소매업,즉석판매제조가공업,미용업,휴게음식점,건강기능식품일반판매업,식품자동판매기업,축산판매업,의료기기판매(임대)업,방문판매업,의원,노래연습장업,세탁업,집단급식소,식품제조가공업,인터넷컴퓨터게임시설제공업,출판사,식품소분업,건물위생관리업,안전상비의약품 판매업소,이용업,당구장업,약국,숙박업,제과점영업,유료직업소개소,일반게임제공업,옥외광고업
P-23,7,14,10,1,1,0,1,1,0,0,0,0,0,1,10,13,0,0,3,1,0,0,0,0,0,0,0,0,0
H-21,40,19,5,10,7,4,3,8,6,1,1,4,1,2,4,5,0,0,1,0,1,2,2,1,0,1,0,0,0
D-20,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
R-20,0,4,0,1,0,0,0,0,0,0,0,0,0,0,3,6,0,0,1,0,0,0,0,0,0,0,0,0,2
B-19,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
C-19,1,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
R-19,86,72,25,15,18,17,24,7,23,12,1,5,1,6,7,13,1,1,6,1,5,2,2,5,3,3,2,0,0
F-18,25,3,4,0,0,0,0,5,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H-18,27,35,16,5,17,15,5,3,1,3,1,0,0,2,5,0,0,2,0,0,4,0,0,0,0,2,0,0,0
I-18,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
K-18,54,24,18,209,1,20,18,13,16,1,1,2,0,1,3,8,0,1,28,0,2,0,0,2,0,3,0,0,2
L-18,25,1,6,0,0,19,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Q-18,96,85,54,18,14,16,12,28,39,6,6,10,7,4,7,35,3,1,12,2,4,1,2,4,1,7,1,0,2
F-17,389,141,82,51,72,63,46,46,85,35,22,26,14,16,16,28,15,5,24,14,12,10,10,11,1,11,8,5,8
G-17,105,190,77,287,60,50,79,36,25,20,8,15,0,15,21,0,3,7,15,0,10,6,1,14,1,9,16,0,2
H-17,924,229,166,150,195,225,151,84,49,43,26,72,52,15,19,8,24,20,26,10,23,10,18,46,0,27,8,22,6
I-17,214,65,41,40,62,14,22,33,37,17,4,7,6,9,7,11,5,7,4,13,4,10,1,1,0,9,5,3,5
J-17,390,167,98,81,84,51,93,58,44,25,11,27,21,21,19,6,12,5,16,12,13,16,10,14,0,17,6,0,8
K-17,410,220,129,41,77,82,69,31,116,42,24,10,20,20,20,36,22,8,21,18,29,4,12,3,0,7,2,0,6
L-17,349,110,117,56,84,33,43,48,53,17,12,11,12,19,5,18,12,4,17,11,8,10,16,6,0,9,15,3,10
P-17,241,105,84,31,52,25,34,65,36,10,16,8,8,21,8,18,8,6,7,12,2,18,9,8,3,6,13,2,10
Q-17,146,86,74,24,56,17,18,31,31,4,10,6,6,16,5,13,8,1,7,1,7,6,7,5,4,8,7,2,0
F-16,56,24,21,120,7,28,9,6,7,8,1,2,1,2,4,1,1,0,8,4,2,2,2,5,2,5,2,0,2
G-16,46,52,22,7,7,16,14,9,8,4,3,0,1,3,2,0,0,2,0,1,5,0,0,0,0,1,1,0,1
I-16,373,152,94,47,86,80,51,26,35,22,10,37,14,12,7,12,8,6,10,3,7,4,7,12,0,14,10,2,7
J-16,342,139,74,33,62,55,42,48,25,16,26,4,13,15,7,2,8,10,3,11,10,8,8,3,1,4,11,5,9
K-16,555,194,150,75,128,79,128,129,37,44,45,71,27,31,19,7,17,11,14,24,9,27,25,29,4,22,25,30,17
L-16,1128,280,295,129,228,169,166,210,122,64,51,45,63,62,27,23,60,7,21,48,24,63,50,35,140,21,47,44,32
M-16,341,137,118,64,94,52,48,85,51,13,22,19,12,24,19,10,8,5,12,6,6,19,11,7,0,10,18,5,9
N-16,365,100,122,37,59,88,46,84,27,43,11,10,11,19,22,12,7,8,5,12,14,11,15,29,19,7,13,3,9
O-16,355,105,115,67,92,45,78,74,47,20,11,29,19,24,14,8,19,2,3,11,8,16,20,12,6,8,19,12,3
P-16,291,171,137,88,62,50,42,66,36,17,20,21,10,20,10,23,15,7,13,4,5,18,7,14,6,19,12,4,10
Q-16,398,107,94,293,100,117,71,16,15,37,9,40,20,8,16,5,17,2,6,0,17,4,12,20,0,18,0,4,1
R-16,1,5,2,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
F-15,2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G-15,9,49,10,4,2,6,8,3,1,4,6,0,0,0,7,1,0,2,4,0,0,0,0,0,0,1,0,0,5
H-15,279,136,76,29,57,114,44,12,14,20,5,17,7,4,8,4,11,12,5,5,19,1,10,14,0,14,0,1,2
J-15,299,185,65,43,72,61,53,60,42,20,15,20,11,17,21,3,9,11,6,8,10,8,9,4,1,12,9,3,11
K-15,1007,330,179,190,188,107,123,154,128,49,38,40,29,52,15,41,32,17,20,42,14,34,22,17,14,20,42,36,52
L-15,833,363,217,166,238,120,177,154,97,63,38,60,36,54,21,34,25,16,14,32,12,42,31,23,10,25,31,6,40
M-15,1053,410,224,709,227,267,384,175,69,177,154,109,55,27,31,11,25,30,48,41,27,31,40,52,41,41,31,21,24
N-15,1912,818,410,111,276,493,246,276,63,204,154,81,54,44,54,36,32,74,25,84,60,54,118,45,109,30,43,40,35
O-15,913,311,271,198,113,164,88,155,96,54,51,20,23,32,20,49,31,11,15,29,25,43,42,12,125,20,31,27,32
P-15,525,251,231,294,169,104,105,115,65,32,42,55,24,36,17,14,21,11,12,16,11,30,11,26,5,23,31,17,8
Q-15,346,174,120,71,90,32,67,72,42,19,18,36,12,23,22,13,11,5,18,7,7,16,5,23,0,18,12,5,2
R-15,22,4,17,0,2,0,4,9,1,0,1,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,1,0,0
F-14,25,77,17,3,5,6,8,3,18,12,5,1,0,1,3,9,0,5,4,3,0,1,0,0,0,0,0,0,5
G-14,3,22,3,0,1,5,2,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1
H-14,252,201,50,21,92,81,32,4,19,15,8,5,0,12,16,4,0,5,1,5,19,0,0,6,0,10,0,0,1
I-14,3,4,0,0,0,2,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0
J-14,237,240,81,44,110,45,96,39,28,29,29,15,6,23,17,7,12,8,9,20,16,10,4,11,1,11,11,4,10
K-14,1034,634,265,182,331,189,220,158,123,117,71,53,44,81,30,31,56,22,28,57,37,40,21,29,3,18,41,20,66
L-14,1254,697,262,707,326,292,279,198,85,169,127,98,51,54,28,48,56,30,53,65,47,32,22,23,29,33,28,62,90
M-14,663,318,230,110,185,134,154,152,66,85,63,38,25,33,42,12,31,20,16,25,24,31,45,27,15,23,34,9,18
N-14,637,383,251,52,124,110,91,153,84,70,48,14,25,42,20,43,20,82,10,41,21,33,16,16,102,5,24,9,44
O-14,1149,422,354,219,194,379,134,213,86,141,95,95,67,29,20,39,44,273,36,28,17,72,46,58,156,29,42,104,36
P-14,1097,336,302,82,219,175,90,143,79,47,62,21,41,45,31,24,37,12,10,26,37,27,35,11,3,24,16,10,14
Q-14,429,123,140,42,82,108,41,90,31,26,6,14,16,17,15,8,24,11,7,1,28,7,9,10,1,6,2,10,2
S-14,12,1,13,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-13,205,55,41,3,20,57,14,9,4,6,2,5,6,2,8,4,5,6,1,1,6,0,4,4,0,4,1,0,0
G-13,85,79,33,6,19,13,18,18,18,4,7,3,1,8,11,8,2,6,4,4,6,1,2,4,0,2,1,0,5
H-13,1432,525,346,79,275,272,199,157,90,179,64,104,63,45,32,28,88,43,19,49,72,55,38,43,134,31,51,120,39
I-13,25,32,27,0,2,8,7,7,3,9,3,0,1,1,6,0,2,0,0,2,0,1,1,0,0,1,0,0,2
J-13,1799,672,333,221,335,280,224,198,103,139,93,35,106,78,28,47,86,35,30,69,66,35,50,16,6,32,47,92,46
K-13,1492,798,348,326,434,304,405,219,70,145,162,251,92,50,54,24,54,56,33,60,54,32,48,61,1,36,36,55,25
L-13,2039,776,390,816,415,432,398,226,64,168,136,180,90,52,22,47,43,67,78,35,63,45,33,75,13,61,23,51,30
M-13,221,210,88,15,56,34,32,67,33,17,17,1,7,21,12,33,4,12,11,27,6,7,3,2,0,2,9,0,38
N-13,815,257,280,29,100,172,60,112,76,41,14,10,43,26,19,36,37,21,21,35,33,22,62,14,6,11,20,20,35
O-13,1048,445,402,289,208,263,171,186,106,110,180,63,61,52,31,36,71,14,29,41,31,55,36,54,54,36,45,47,24
P-13,1060,438,430,176,264,198,202,182,125,160,129,56,64,54,17,42,42,16,47,42,38,52,36,34,74,22,27,25,22
Q-13,42,33,31,1,18,19,6,30,7,7,10,0,0,3,14,6,0,2,2,4,4,1,0,0,3,0,2,0,3
S-13,2,3,5,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E-12,36,39,32,8,4,17,5,1,8,7,3,0,1,1,6,2,0,3,2,1,3,0,0,0,0,0,0,0,1
F-12,153,133,46,42,18,22,31,23,36,22,19,4,4,9,3,23,7,5,29,11,5,7,1,2,0,5,1,2,5
G-12,181,112,81,56,22,15,28,39,52,20,11,14,4,7,5,17,4,5,6,15,3,2,3,4,1,2,10,3,12
H-12,731,303,191,49,149,158,112,82,59,94,29,28,16,32,19,23,27,45,11,25,43,9,24,14,2,16,16,4,14
I-12,1589,374,293,541,196,283,132,118,56,96,27,23,62,49,15,28,42,49,40,39,38,25,41,19,52,31,14,18,30
J-12,226,191,64,68,51,53,73,46,28,10,9,19,12,18,20,13,3,29,8,8,13,10,0,12,0,14,7,0,3
K-12,1159,467,238,1419,264,428,342,196,45,177,91,123,64,19,54,15,31,36,102,25,43,31,40,42,28,79,19,44,3
L-12,111,103,63,40,17,42,52,43,10,17,11,18,7,6,16,1,2,12,8,3,5,3,3,9,0,7,4,3,1
M-12,348,214,129,85,57,49,44,67,174,18,14,14,14,13,10,87,19,6,86,18,4,17,16,7,0,8,8,16,24
N-12,662,273,225,149,159,94,102,122,104,26,35,19,42,47,26,39,34,9,21,21,19,32,22,16,59,9,26,24,21
O-12,1210,474,335,347,274,193,183,131,113,127,121,33,54,60,24,40,83,16,36,33,41,44,26,20,35,17,22,87,33
P-12,417,180,94,69,92,67,102,60,54,48,36,23,23,23,13,20,10,8,10,9,8,15,11,6,0,19,14,12,7
Q-12,127,51,41,5,19,17,25,25,12,7,9,3,5,8,6,10,7,3,9,7,5,5,2,1,3,2,2,7,1
E-11,0,3,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0
F-11,423,215,108,82,122,140,135,37,35,50,29,60,19,13,6,2,19,20,13,6,11,9,13,13,0,32,8,6,3
G-11,241,104,44,22,42,43,40,37,15,12,9,8,8,12,7,6,2,5,10,3,9,3,1,15,0,2,1,1,3
H-11,111,26,19,1,14,21,4,5,2,8,0,1,0,1,6,1,0,0,1,0,8,0,0,1,0,3,0,0,0
I-11,18,52,25,55,9,18,19,9,5,4,4,5,0,4,6,1,1,1,11,0,2,0,0,2,0,3,3,0,1
J-11,2,20,21,0,0,2,0,9,0,1,1,0,0,0,13,0,0,9,0,2,0,1,0,0,0,0,0,0,0
K-11,448,234,72,47,70,70,70,62,29,81,19,17,23,10,16,7,3,42,2,16,14,9,10,11,0,11,7,2,4
L-11,49,40,28,24,9,35,4,6,2,5,1,0,0,2,7,2,0,2,0,1,3,0,0,0,3,3,0,0,2
M-11,108,162,46,6,13,53,23,28,9,53,9,2,1,3,36,18,0,8,8,24,3,2,2,0,0,2,4,2,11
N-11,171,142,95,49,37,30,42,48,27,17,12,7,7,14,17,16,4,8,16,10,2,9,8,6,1,5,13,5,14
O-11,606,224,111,126,215,113,141,86,53,48,34,56,38,32,37,13,20,8,11,13,10,27,16,33,0,31,19,11,6
E-10,28,57,21,5,15,9,9,1,4,6,1,3,0,2,11,1,0,4,1,0,4,0,0,1,0,3,0,0,1
F-10,471,208,80,77,106,117,83,14,30,43,13,67,11,15,18,6,9,17,10,5,17,9,7,24,0,28,8,0,2
G-10,110,71,42,94,23,55,25,10,10,14,7,2,3,3,22,10,1,7,11,5,6,0,0,1,0,4,1,0,1
H-10,37,12,8,0,3,2,2,2,1,0,0,0,1,2,7,2,0,3,1,2,0,0,0,0,0,0,0,0,1
I-10,231,61,68,30,50,41,41,29,11,8,3,12,10,10,17,11,2,7,4,9,7,6,6,12,0,12,3,1,0
J-10,5,55,23,0,1,9,1,18,0,1,2,0,0,0,21,0,0,7,0,0,0,0,1,0,0,0,0,0,0
K-10,174,90,47,4,16,43,16,23,9,11,4,6,2,3,16,2,0,26,2,7,2,2,4,4,1,4,2,2,3
L-10,3,24,10,0,0,5,3,9,0,0,1,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1
M-10,14,12,9,0,0,4,34,3,2,2,0,0,0,0,4,1,0,1,0,1,0,0,0,0,0,0,0,0,1
N-10,25,12,19,1,6,4,1,1,3,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
G-9,7,20,9,1,6,2,1,0,1,0,1,0,0,1,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0
I-9,272,33,38,6,4,30,14,18,7,6,3,1,25,2,11,4,6,0,1,2,7,1,7,0,0,0,2,1,3
J-9,5,5,12,0,0,2,0,0,0,0,1,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0
L-9,76,56,29,6,3,19,29,12,11,3,2,0,3,2,19,5,0,5,1,0,2,0,1,0,0,6,1,0,0
M-9,505,160,71,186,94,114,80,47,34,19,14,33,32,18,13,14,17,22,24,2,9,12,14,12,0,19,1,10,2
N-9,109,46,41,16,28,19,22,14,15,7,3,7,5,5,6,4,2,0,4,1,3,3,4,3,1,3,2,0,3
E-8,11,6,3,0,0,1,2,1,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
H-8,45,12,7,53,11,9,7,2,3,2,1,4,1,0,5,0,0,2,4,0,2,4,1,2,0,3,0,0,1
K-8,14,11,10,0,0,2,1,5,2,1,0,0,0,0,13,3,0,0,1,0,1,0,0,0,0,0,0,0,1
L-8,36,33,13,6,5,8,4,3,2,3,0,0,0,4,4,2,0,2,1,0,1,0,0,0,0,1,0,0,0
M-8,20,10,5,1,0,1,0,2,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N-8,3,11,9,0,0,0,0,2,0,0,2,0,0,0,6,3,0,0,1,0,1,0,0,0,0,0,0,0,1
E-7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K-7,41,65,21,5,10,1,20,1,8,1,1,0,0,8,3,1,0,6,0,0,2,1,0,0,0,3,1,0,0
L-7,563,222,89,219,91,140,92,17,34,51,19,56,32,7,26,16,13,16,15,5,21,4,12,18,2,23,2,1,5
M-7,42,132,26,0,0,10,16,7,1,12,9,0,0,1,15,4,0,15,0,4,6,0,2,0,0,0,0,0,2
N-7,38,43,27,15,3,12,4,16,5,3,0,0,1,4,5,13,0,1,5,1,5,3,0,1,4,0,1,0,4
K-6,372,165,80,110,101,78,74,34,36,16,7,31,23,17,11,7,13,8,12,4,3,8,8,13,0,10,6,6,2
L-6,190,68,50,16,19,21,21,24,14,3,4,8,12,6,22,12,7,1,2,3,4,2,3,8,0,2,1,6,5
M-6,13,11,23,0,0,3,0,10,0,2,0,0,0,0,14,7,0,1,1,0,0,0,0,0,0,0,0,0,4
N-6,291,122,100,38,59,55,35,45,45,22,12,5,14,20,28,35,11,4,18,13,12,10,7,7,2,9,6,5,2
O-6,18,22,18,0,3,2,2,5,2,3,0,0,0,1,7,12,0,2,1,1,1,1,0,0,0,1,0,0,2
K-5,23,6,7,0,0,2,1,5,1,0,1,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M-5,193,59,59,17,43,33,26,46,30,13,13,4,9,9,38,29,6,4,5,4,13,3,6,3,0,5,4,1,1
N-5,331,106,93,64,79,81,39,46,48,22,7,26,9,15,10,14,8,2,10,3,10,9,11,8,4,10,10,15,5
O-5,546,120,130,192,94,120,53,76,37,22,10,25,27,25,16,28,25,4,18,8,18,29,20,18,64,7,16,13,7
O-4,82,22,29,24,14,12,9,17,12,2,1,5,2,7,2,1,0,1,3,1,2,4,1,3,5,2,0,0,0
A-18,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F-9,15,15,16,0,3,0,4,1,3,0,0,2,0,2,5,0,0,0,1,2,0,0,0,0,0,1,0,0,0
I-8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P-5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
